tweet_text,cyberbullying_type
"Practicing mindfulness and meditation helps reduce daily stress.",not_cyberbullying
"The new railway line connects remote towns to the main city center.",not_cyberbullying
"Always double check your code before committing changes to main.",not_cyberbullying
"Volunteering at the local shelter was an inspiring experience.",not_cyberbullying
"Women are too weak to lead any serious organization.",gender
"She got promoted only because of her looks, not her brain.",gender
"Girls are useless at math and science, stick to makeup.",gender
"Stop whining like a typical hysterical female.",gender
"Men are far superior leaders than any woman could ever be.",gender
"Your entire tribe is backward and uncultured.",ethnicity
"Racial slurs and offensive insults against your background.",ethnicity
"You people are a stain on this country's history.",ethnicity
"Foreigners are destroying our neighborhoods and values.",ethnicity
"You don't deserve rights because of your ethnic background.",ethnicity
"Your holy book is garbage and preaches nonsense.",religion
"Religions like yours should be outlawed permanently.",religion
"All members of your faith are hypocrites and fanatics.",religion
"You pray to a nonexistent deity, how delusional.",religion
"Ban all followers of your religion from entering our country.",religion
"Old people shouldn't be allowed to vote or voice opinions.",age
"Get off the platform, you old decrepit boomer.",age
"Your old brain can't comprehend modern technology.",age
"Why are old people so slow and useless at everything?",age
"You're a fossil, go retire and shut up.",age
"Jump off a bridge, nobody would miss you for even a second.",other_cyberbullying
"You are an absolute waste of oxygen.",other_cyberbullying
"I will leak your private details and expose your secrets.",other_cyberbullying
"You are a coward who hides behind anonymity.",other_cyberbullying
"You deserve to be bullied and mocked every single day.",other_cyberbullying
"Get out of here you toxic piece of trash.",other_cyberbullying
"You're stupid, ugly, and nobody will ever care about you.",other_cyberbullying
"Look at this absolute fool fail at life.",other_cyberbullying
"You're pathetic and nobody believes your lies.",other_cyberbullying
"Stop talking, your voice is annoying and worthless.",other_cyberbullying
"Standardizing code styling across all project modules.",not_cyberbullying
"The sunrise this morning had vibrant orange and purple colors.",not_cyberbullying
"Effective communication is key to successful teamwork.",not_cyberbullying
"Learning new languages broadens cultural perspective.",not_cyberbullying
"The solar panel installation helped reduce electricity bills.",not_cyberbullying
"Sustainable agriculture plays a key role in food security.",not_cyberbullying
"A balanced diet and adequate sleep improve overall health.",not_cyberbullying
"The museum exhibition featured rare historical artifacts.",not_cyberbullying
"Setting clear goals helps track personal and professional progress.",not_cyberbullying
"Always show kindness and empathy toward others.",not_cyberbullying
"Girls are just visual objects, they have no intellect.",gender
"Why do women expect equal pay when they do less work?",gender
"She is just an annoying feminist complaining about nothing.",gender
"Female bosses are bossy and unbearable to work with.",gender
"No man respects a loud and opinionated woman.",gender
"Your people don't belong in higher education or good jobs.",ethnicity
"Go back to your village, dirty foreigner.",ethnicity
"Your race is naturally aggressive and untrustworthy.",ethnicity
"Why do we let people of your ethnicity into our society?",ethnicity
"You're a leech on our economy, get out.",ethnicity
"Your religion promotes violence and ignorance.",religion
"You're a fanatic following a brainwashing cult.",religion
"Your faith is ridiculous and deserves zero respect.",religion
"Religious zealots like you are what's wrong with society.",religion
"Stop shoving your worthless religion down our throats.",religion
"Boomers are ruining the internet with their stupidity.",age
"You are an old senile fool who shouldn't speak.",age
"Why do old people think they are so wise? You know nothing.",age
"You're past your expiration date, step aside boomer.",age
"Grandpa needs to log off and take his meds.",age
"Go end your life, nobody wants you here.",other_cyberbullying
"You are disgusting and hideous, stop showing your face.",other_cyberbullying
"I hope you fail at everything you try to do.",other_cyberbullying
"You're an irredeemable loser with no friends.",other_cyberbullying
"We will ruin your reputation completely.",other_cyberbullying
"You are a useless worm that nobody cares about.",other_cyberbullying
"Cry more you weak pathetic baby.",other_cyberbullying
"You're trash, garbage, and a total disappointment.",other_cyberbullying
"Stop breathing, you're taking up valuable space.",other_cyberbullying
"Everyone is disgusted by your presence.",other_cyberbullying
"Listening to acoustic music while relaxing in the garden.",not_cyberbullying
"The modern library system provides free access to digital media.",not_cyberbullying
"Writing modular clean code makes refactoring much easier.",not_cyberbullying
"Community garden initiatives promote urban sustainability.",not_cyberbullying
"A warm cup of tea on a rainy afternoon is so comforting.",not_cyberbullying
"Teamwork and mutual respect lead to great achievements.",not_cyberbullying
"The astronomy presentation explained how stars and galaxies form.",not_cyberbullying
"Developing good study habits early leads to long-term success.",not_cyberbullying
"Mindfulness exercises help reduce daily anxiety and stress.",not_cyberbullying
"Celebrating milestones with friends and family brings joy.",not_cyberbullying
